Title ,ROM,Year,Manufacturer,MAME Set,
AHA-1740 Fast SCSI Host Adapter,aha1740,,,Merged,
AHA-1742A Fast SCSI Host Adapter,aha1742a,,,Merged,
AI,segaai,1986,Sega,Merged,
Ai-chan ni Chousen! Excite Ping Pong (Japan),epo_epp3,2006,Epoch / SSD Company LTD,Merged,
Ai-mode - Pet Shiiku (Japan),aimode,1999,Nichibutsu/eic,Merged,
AID-80F Development System,aid80f,1978,Mostek,Merged,
AIM 65,aim65,1977,Rockwell,Merged,
AIM-65/40,aim65_40,1981,Rockwell,Merged,
Air Assault (World),airass,1993,Irem,Merged,
Air Attack (set 1),airattck,1996,Comad,Merged,
Air Buster: Trouble Specialty Raid Unit (World),airbustr,1990,Kaneko (Namco license),Merged,
"Air Combat (AC2, US)",aircomb,1992,Namco,Merged,
"Air Combat 22 (Japan, ACS1 Ver.B)",airco22b,1995,Namco,Merged,
"Air Duel (World, M82 hardware)",airduel,1990,Irem,Merged,
Air Gallet (Europe),agallet,1996,Gazelle (Banpresto license),Merged,
