Title ,ROM,Year,Manufacturer,MAME Set,
"The Lost World: Jurassic Park (pinball, CPU 2.02, display A2.01)",jplstw22,1997,Sega,Merged,
The Lost World: Jurassic Park (Revision A),lostwsga,1997,Sega,Merged,
The Love Generation (Power Link),pllovegene,1999,NMK,Merged,
The Machine: Bride of Pinbot (L-7),bop_l7,1992,Williams,Merged,
"The Magician (20210111, NSW/ACT)",magician,2006,Aristocrat,Merged,
"The Mah-jong (Japan, set 1)",themj,1987,Visco,Merged,
The Main Event (4 Players ver. Y),mainevt,1988,Konami,Merged,
The Main Event (Destron),dmainevent,1983,Destron,Merged,
The Masters of Kin,mastkin,1988,Du Tech,Merged,
The Mating Game (v0.4) (MPU4 Video),v4mate,1996?,Barcrest,Merged,
The Maze of the Kings (GDS-0022),mok,2002,Sega,Merged,
"The Mob (Mdm) (MPU4, set 1)",m4themob,199?,Mdm,Merged,
The Money Returns Club (Global) (EPOCH) (set 1),ep_monrt,199?,Global,Merged,
"The Monster Show (Konami Endeavour, Russia)",monshow,200?,Konami,Merged,
The Moonshine Club (Global) (EPOCH) (set 1),ep_monsh,199?,Global,Merged,
The Munsters,munsters,2003,IGT,Merged,
The Nanpa (Japan),thenanpa,1999,Nichibutsu/Love Factory/eic,Merged,
The New Crystal Maze Featuring Ocean Zone (v2.2) (MPU4 Video),v4cmaze2,1993,Barcrest,Merged,
The New York Times Sudoku,nytsudo,200?,Excalibur Electronics / Nice Code,Merged,
"The NewZealand Story (World, new version) (P0-043A PCB)",tnzs,1988,Taito Corporation Japan,Merged,
The Next Space (set 1),tnextspc,1989,SNK,Merged,
The Ninja Kids (World),ninjak,1990,Taito Corporation Japan,Merged,
"The Ninja Warriors (World, later version)",ninjaw,1987,Taito Corporation Japan,Merged,
"The Nudge Machine (ADMC) (Black Box) (5p Stake, £1/£2 Jackpot)",bb_nudgm,1982,ADM ,Merged,
The Ocean Hunter (Revision A),oceanhun,1998,Sega,Merged,
The Oregon Trail,otrail,2017,Basic Fun,Merged,
"The Outfoxies (World, OU2)",outfxies,1994,Namco,Merged,
The Par Excellence (set 1),fexcelp,1986,Fidelity International,Merged,
The Party Zone (F-4),pz_f4,1991,Bally,Merged,
The Percussor,percuss,1981,Orca,Merged,
"The Perfect Mate (Senario, Plug and Play)",senpmate,2005,Senario,Merged,
The Phantom of the Opera (3.2),poto_a32,1990,Data East,Merged,
"The Phoenix Knights (Global) (EPOCH) (1.1, set 1)",ep_pkni,199?,Global,Merged,
The Phrase That Pays (Bellfruit) (Cobra 3?),c3_ppays,199?,BFM,Merged,
The Pirates of Dark Water (SNES bootleg),piratdwb,199?,bootleg (Conny),Merged,
The Pit,thepit,1982,Zilec Electronics,Merged,
"The Pit Boss (2214-07, U5-0A)",pitboss,1983,Merit,Merged,
The Price Is Right (JAKKS Pacific TV Game) (Mar 24 2009 17:34:55),jak_tpir,2009,JAKKS Pacific Inc / HotGen Ltd,Merged,
The Prize Is Right (Bellfruit) (Scorpion 4) (set 1),sc4pir,200?,BFM,Merged,
The Prize Is Right Club (Bellfruit) (Scorpion 5) (set 1),sc5pircl,200?,BFM,Merged,
The Punisher (World 930422),punisher,1993,Capcom,Merged,
"The Quest (NSW, Australia)",thequest,1997,Konami,Merged,
The Raid,theraid,1984,Playmatic,Merged,
The Real Broadway (9131-20-00 R0C),realbrod,1996,Merit,Merged,
"The Real Ghostbusters (US 2 Players, revision 2)",ghostb,1987,Data East USA,Merged,
The Return of Ishtar,roishtar,1986,Namco,Merged,
The Return of Lady Frog (set 1),roldfrog,1993,Microhard,Merged,
The Revenge of Shinobi (Mega-Tech),mt_revsh,1989,Sega,Merged,
"The Ritz (System 85, set 1)",b85ritz,1988,BFM,Merged,
The Roll (Project) (PROCONN),pr_roll,199?,Project,Merged,
The Roulette (Visco),setaroul,1989?,Visco,Merged,
The Round Up,mroundup,1984,Merit,Merged,
The Royal (System 85),b85royal,1988,BFM,Merged,
The Rumble Fish,rumblef,2004,Sammy / Dimps,Merged,
The Rumble Fish 2,rumblef2,2005,Sammy / Dimps,Merged,
The Shadow (LX-5),ts_lx5,1995,Bally,Merged,
The Shadow (Tiger),tshadow,1994,Tiger Electronics,Merged,
The Simpsons - Duff Beer Guide (Maygay) (EPOCH) (set 1),ep_duff,199?,Maygay,Merged,
"The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.A, set 1)",ep_homer,2000,Maygay,Merged,
The Simpsons (2.7),simp_a27,1990,Data East,Merged,
"The Simpsons (4 Players World, set 1)",simpsons,1991,Konami,Merged,
"The Simpsons (Maygay) (EPOCH) (3.6, set 1)",ep_simp,1998,Maygay,Merged,
The Simpsons (Maygay) (M1A/B) (set 1),m1simps,199?,Maygay,Merged,
The Simpsons Bowling (GQ829 UAA),simpbowl,2000,Konami,Merged,
"The Simpsons Pinball Party (CPU 5.00, display A5.00)",simpprty,2003,Stern,Merged,
The Sky's The Limit (Bellfruit) (Scorpion 4) (set 1),sc4stl,200?,BFM,Merged,
The Sky's The Limit Club (Ace) (sp.ACE) (set 1),sp_skylm,199?,Ace,Merged,
The Solution,solution,1984,South Carolina Applied Technology,Merged,
"The Sopranos (CPU 5.00, display A5.00)",sopranos,2005,Stern,Merged,
The Speed Rumbler (set 1),srumbler,1986,Capcom,Merged,
The Spice Is Right (Barcrest) (MPU5) (set 1),m5spicer,199?,Barcrest,Merged,
The Streak (Barcrest) (MPU4) (TS  3.0 K),m4thestr,199?,BWB,Merged,
The Streak (Mazooma) (Scorpion 4) (set 1),sc4strk,200?,Mazooma,Merged,
The Super Spy (NGM-011 ~ NGH-011),superspy,1990,SNK,Merged,
The Three Stooges In Brides Is Brides (set 1),3stooges,1984,Mylstar,Merged,
"The Tin Star (A10, 4 PCB version)",tinstar,1983,Taito Corporation,Merged,
The Tower (DECO Cassette) (Europe),ctower,1981,Data East Corporation,Merged,
The Tower of Druaga (New Ver.),todruaga,1984,Namco,Merged,
The Trident (Mazooma) (Scorpion 4) (set 1),sc4tridn,200?,Mazooma,Merged,
The Typing of the Dead (Rev A),totd,2000,Sega,Merged,
The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero,ssideki4,1996,SNK,Merged,
The Walking Dead: Battleground (JAKKS Pacific TV Game),jak_wdbg,2014,JAKKS Pacific Inc / Super Happy Fun Fun,Merged,
The Walking Dead: Zombie Hunter (JAKKS Pacific TV Game),jak_wdzh,2012,JAKKS Pacific Inc / Merge Interactive,Merged,
"The Who's Tommy Pinball Wizard (USA 4.00, display A4.00)",tomy_400,1994,Data East,Merged,
The X-Files,xfiles,1999,dgPIX Entertainment Inc.,Merged,
The Yakyuken (bootleg),yakyuken,1982,bootleg,Merged,
Theatre Of Magic (1.3X),tom_13,1995,Bally,Merged,
Theme Park (Project) (PROCONN),pr_theme,199?,Project,Merged,
Thief,thief,1981,Pacific Novelty,Merged,
ThinkPad 600,tpad600,1998,IBM,Merged,
ThinkPad 600E,tpad600e,1999,IBM,Merged,
ThinkPad 600X,tpad600x,1999,IBM,Merged,
ThinkPad 760XD,tpad760xd,1995,IBM,Merged,
ThinkPad 770Z,tpad770z,1999,IBM,Merged,
ThinkPad 850,tpad850,1996,IBM,Merged,
"Thomas & Friends - Learning Circus Express (Sharp Cookie) (PAL, UK)",jsc_thom,2007,JAKKS Pacific Inc / Child Guidance / Pronto Games,Merged,
"Thomas & Friends - Right on Time (JAKKS Pacific TV Game) (Jun 28 2006 18:24:37) (US, NTSC)",jak_thom,2006,JAKKS Pacific Inc / HotGen Ltd,Merged,
Thomson CD 90-015 floppy drive controller,cd90_015,,,Merged,
Thomson CD 90-351 Diskette Controller,cd90_351,,,Merged,
Thomson CD 90-640 floppy drive controller,cd90_640,,,Merged,
Thomson CQ 90-028 QDD controller,cq90_028,,,Merged,
Thomson EF9340+EF9341,ef9340_1,,,Merged,
Thomson EF9365,ef9365,,,Merged,
"Thor (0200319V, NSW/ACT)",thor,1996,Aristocrat,Merged,
Thoroughbred Horse Race Analyzer,horseran,1979,Mattel Electronics,Merged,
Thrash Rally (ALM-003 ~ ALH-003),trally,1991,Alpha Denshi Co.,Merged,
Three Bags Full (JPM) (IMPACT),j6bags,199?,JPM,Merged,
Three Ds - Three Dealers Casino House (set 1),threeds,1985,Nichibutsu,Merged,
Three Lions (Mazooma) (Scorpion 4) (set 1),sc4lions,200?,Mazooma,Merged,
Three Wishes Red (Russia) (Atronic),3wishrd,2002,Atronic,Merged,
Three Wonders (World 910520),3wonders,1991,Capcom,Merged,
Thrill Drive (UDE),thrilld,1998,Konami,Merged,
Thrill Drive 2 (ver EBB),thrild2,2001,Konami,Merged,
Thrill Drive 3 (D44:J:A:A:20050316),thrild3j,2005,Konami,Merged,
Thriller (Crystal) (IMPACT) (set 1),j6thril,199?,Crystal,Merged,
Thrills 'n' Spills (Global) (M1A/B) (set 1),m1thrill,199?,Global,Merged,
Throwback Pocket Video Game Console 150+ 8-Bit Games,throwbck,201?,Westminster,Merged,
Thru' The Roof (Ace) (IMPACT) (set 1),j6roof,199?,Ace,Merged,
Thru' The Roof (Ace) (sp.ACE) (set 1),sp_roof,199?,Ace,Merged,
Thunder & Lightning (set 1),thunderl,1990,Seta,Merged,
Thunder Blade (upright) (FD1094 317-0056),thndrbld,1987,Sega,Merged,
Thunder Ceptor,tceptor,1986,Namco,Merged,
Thunder Cross (set 1),thunderx,1988,Konami,Merged,
Thunder Cross II (World),thndrx2,1991,Konami,Merged,
"Thunder Dragon (8th Jan. 1992, unprotected)",tdragon,1991,NMK (Tecmo license),Merged,
Thunder Dragon 2 (9th Nov. 1993),tdragon2,1993,NMK,Merged,
Thunder Force AC,tfrceac,1990,Technosoft / Sega,Merged,
Thunder Force II MD (Mega-Tech),mt_tfor2,1989,Techno Soft / Sega,Merged,
"Thunder Fox (World, rev 1)",thundfox,1990,Taito Corporation Japan,Merged,
"Thunder Heart (0200333V, NSW/ACT)",thndh,1996,Aristocrat,Merged,
"Thunder Heart (10173811, NSW/ACT)",thndrhrt,2004,Aristocrat,Merged,
"Thunder Heart (13XF528902, US)",thundhrt,1998,Aristocrat,Merged,
Thunder Heroes (set 1),theroes,2001,Primetek Investments,Merged,
"Thunder Hoop (ver. 1, checksum 02a09f7d)",thoop,1992,Gaelco,Merged,
Thunder Man,thndrman,1987,Apple Time,Merged,
Thunder Strike (set 1),tstrike,1991,East Coast Coin Company,Merged,
"Thunder Zone (World, Rev 1)",thndzone,1991,Data East Corporation,Merged,
Thunderball (Empire) (MPU5),m5tball,199?,Empire,Merged,
Thunderball (P-1),thund_p1,1982,Williams,Merged,
Thunderbird (Barcrest) (MPU5),m5tbird,199?,Barcrest,Merged,
Thunderbirds (JPM) (IMPACT) (set 1),j6tbirds,199?,JPM,Merged,
Thunderbirds Club (JPM) (IMPACT) (set 1),j6tbrdcl,199?,JPM,Merged,
Thundercade / Twin Formation,tndrcade,1987,Seta (Taito license),Merged,
ThunderJaws (rev 3),thunderj,1990,Atari Games,Merged,
ThunderWare ThunderClock Plus,a2thunpl,,,Merged,
TI Avigo 10 PDA,avigo,1997,Texas Instruments,Merged,
TI Business Analyst,tibusan,1976,Texas Instruments,Merged,
TI Hexbus Floppy Drive,ti_hx5102,,,Merged,
TI Model 990/10 Minicomputer System,ti990_10,1975,Texas Instruments,Merged,
TI Model 990/4 Microcomputer System,ti990_4,1976,Texas Instruments,Merged,
TI Programmer,tiprog,1977,Texas Instruments,Merged,
TI-1000 (1977 version),ti1000,1977,Texas Instruments,Merged,
TI-1250 (1975 version),ti1250,1975,Texas Instruments,Merged,
TI-1270,ti1270,1976,Texas Instruments,Merged,
TI-1680,ti1680,1977,Texas Instruments,Merged,
TI-2550 II,ti25502,1975,Texas Instruments,Merged,
TI-2550 III,ti25503,1976,Texas Instruments,Merged,
TI-30,ti30,1976,Texas Instruments,Merged,
TI-5100,ti5100,1976,Texas Instruments,Merged,
TI-5200,ti5200,1977,Texas Instruments,Merged,
TI-73 Explorer,ti73,1998,Texas Instruments,Merged,
TI-74 Basicalc (set 1),ti74,1985,Texas Instruments,Merged,
TI-81,ti81,1990,Texas Instruments,Merged,
TI-82,ti82,1993,Texas Instruments,Merged,
TI-83,ti83,1996,Texas Instruments,Merged,
TI-83 Plus (Boot Code 1.00),ti83p,1999,Texas Instruments,Merged,
TI-83 Plus Silver Edition (Boot Code 1.00),ti83pse,2001,Texas Instruments,Merged,
TI-84 Plus (Boot Code 1.00),ti84p,2004,Texas Instruments,Merged,
TI-84 Plus Silver Edition (Boot Code 1.00),ti84pse,2004,Texas Instruments,Merged,
TI-85,ti85,1992,Texas Instruments,Merged,
TI-86,ti86,1997,Texas Instruments,Merged,
TI-89,ti89,1998,Texas Instruments,Merged,
TI-89 Titanium,ti89t,2004,Texas Instruments,Merged,
TI-92,ti92,1995,Texas Instruments,Merged,
TI-92 Plus,ti92p,1999,Texas Instruments,Merged,
TI-95 Procalc,ti95,1986,Texas Instruments,Merged,
TI-99 P-Code Card,ti99_pcode,,,Merged,
TI-99 RS232/PIO interface,ti99_rs232,,,Merged,
TI-99 Speech Synthesizer,ti99_speech,,,Merged,
TI-99 Standard DSSD Floppy Controller,ti99_fdc,,,Merged,
TI-99/2 BASIC Computer (24 KiB ROM),ti99_224,1983,Texas Instruments,Merged,
TI-99/2 BASIC Computer (32 KiB ROM),ti99_232,1983,Texas Instruments,Merged,
TI-99/4 Home Computer (US),ti99_4,1979,Texas Instruments,Merged,
TI-99/4A Home Computer (US),ti99_4a,1981,Texas Instruments,Merged,
TI-99/8 Computer (US),ti99_8,1983,Texas Instruments,Merged,
TI630 telephone,ti630,1999,Intelbras,Merged,
"Tian Jiang Shen Bing (China, V137C)",tjsb,1997,IGS,Merged,
Tiansheng Haoshou (V201CN),tshs,2000,IGS,Merged,
Tiara (Dutch) (Bellfruit) (Scorpion 1),sc1tiara,198?,BFM/ELAM,Merged,
Tic Tac Take (Barcrest) (MPU4) (TIC 2.0),m4ttak,199?,Barcrest,Merged,
Tic Tac Toe (Barcrest) (MPU4) (TT_ 2.0),m4tic,199?,BWB,Merged,
Tic Tac Toe (Sundance bootleg of New Lucky 8 Lines),ttactoe,199?,bootleg (Sundance),Merged,
Tic Tac Toe Classic (Barcrest) (MPU4) (CT4 7.0 YD),m4ticcla,199?,BWB,Merged,
Tic Tac Toe Gold (Barcrest) (MPU4) (TG  3.3 K),m4ticglc,199?,BWB,Merged,
"Tic Tac Trivia (6221-23, U5-0C, 07/07/86)",tictac,1985,Merit,Merged,
Tic Tac Tut (Vivid) (MPU5),m5tictac,199?,Vivid,Merged,
Tic Tac Two Casino (Mazooma) (Scorpion 4) (set 1),sc4tic2,200?,Mazooma,Merged,
Tic Tak Cash (Barcrest) (MPU4) (TC 1.1),m4tiktak,199?,Barcrest,Merged,
Tic-Tac-Strike (Shuffle) (L-2),tts_l2,1986,Williams,Merged,
Tick Tock Cash (Empire) (M1A/B),m1ttcash,199?,Empire,Merged,
Tickee Tickats,tickee,1994,Raster Elite,Merged,
Ticket Tac Toe (1.0),ttt_10,1996,Williams,Merged,
Tieban Shensuan (Mainland version 2.0),tbss,1998,GMS,Merged,
Tierras Salvajes (100Hz display),tierras100hz,1995,Picmatic,Merged,
Tiger (slot),tigerslt,199?,bootleg,Merged,
Tiger Hook (Version 2.1E Dual),tighook,2004,Amcoe,Merged,
Tiger Road (US),tigeroad,1987,Capcom,Merged,
Tiger-Heli (US),tigerh,1985,Toaplan / Taito America Corp.,Merged,
"Tigress (20230111, NSW/ACT)",tigress,2007,Aristocrat,Merged,
"Tiki Talk (10239111, NSW/ACT)",tikitalk,2007,Aristocrat,Merged,
"Tiki Torch (0151003, US)",tiktorch,2003,Aristocrat,Merged,
TIKI-100 8/16,tiki100_8088,,,Merged,
TIM-011,tim011,1987,Mihajlo Pupin Institute,Merged,
TIM-011 Keyboard,tim011_kbd,,,Merged,
TIM-100,tim100,1985,Mihajlo Pupin Institute,Merged,
Timber,timber,1984,Bally Midway,Merged,
"Timber Wolf (0154013, US)",timbwolf,200?,Aristocrat,Merged,
Time 2000,time2000,1977,Atari,Merged,
Time Attacker,tattack,1983?,Shonan,Merged,
"Time Bandit (BWB) (Release 1, 20p Fixed, Cash + Tokens) (set 1) (MPU4 Video)",v4timebn,199?,BWB,Merged,
"Time Crisis (World, TS2 Ver.B)",timecris,1996,Namco,Merged,
Time Crisis 3 (TST1),timecrs3,2003,Namco,Merged,
"Time Crisis 4 (World, TSF1002-NA-A)",timecrs4,2006,Namco,Merged,
"Time Crisis II (US, TSS3 Ver. B)",timecrs2,1997,Namco,Merged,
Time Fantasy (L-5),tmfnt_l5,1982,Williams,Merged,
Time Fighter (Time Pilot conversion on Galaxian hardware),timefgtr,198?,Taito do Brasil,Merged,
Time Killers (v1.32),timekill,1992,Strata / Incredible Technologies,Merged,
Time Limit,timelimt,1983,Chuo Co. Ltd,Merged,
Time Line,timeline,1980,Gottlieb,Merged,
Time Machine (2.4),tmac_a24,1988,Data East,Merged,
Time Machine (Ace) (sp.ACE) (set 1),sp_timem,199?,Ace,Merged,
"Time Machine (LTD, 4 players)",tmacltd4,1981,LTD,Merged,
Time Machine (v2.0) (Issue 3 Questions) (MPU4 Video),v4tmach,1989,Barcrest,Merged,
Time Machine (Zaccaria),tmachzac,1983,Zaccaria,Merged,
Time Pilot,timeplt,1982,Konami,Merged,
Time Pilot '84 (set 1),tp84,1984,Konami,Merged,
"Time Scanner (set 2, System 16B)",timescan,1987,Sega,Merged,
"Time Scanner (TS 2.0, Magnet System)",mag_time,1987,EFO SA / Cedar,Merged,
Time Soldiers (US Rev 3),timesold,1987,Alpha Denshi Co. (SNK/Romstar license),Merged,
Time Traveler,timetrv,1991,Virtual Image Productions (Sega license),Merged,
Time Tunnel,timetunl,1982,Taito Corporation,Merged,
Time Warner ZN-1,coh1000w,1995,Atari,Merged,
"Time Warp (Extreme) (EPOCH) (TWRP 0.1, set 1)",ep_twarp,199?,Extreme,Merged,
"Time Warp (Williams, L-3)",tmwrp_l3,1979,Williams,Merged,
"Tin Can Alley (Maygay) (EPOCH) (1.5, set 1)",ep_tincn,199?,Maygay,Merged,
Tinker Bell,tinkerbl,1990,Sega,Merged,
Tinker Bell and the Lost Treasure (JAKKS Pacific TV Motion Game),jak_tink,2009,JAKKS Pacific Inc / Santa Cruz Games,Merged,
Tinkle Pit (Japan),tinklpit,1993,Namco,Merged,
Tiny Toon Adventures (prototype) (PlayChoice-10),pc_ttoon,1991,Konami (Nintendo of America license),Merged,
TinyGiant HT68k,ht68k,1987,Hawthorne Technology,Merged,
TIPI card,ti99_tipi,,,Merged,
Titan (set 1),titan,1982,Taito do Brasil,Merged,
"Titanic (coin dropper, CPU 1.01, display A1.01)",titanic,1998,Sega,Merged,
Title Fight,tfight,1990,Gottlieb,Merged,
Title Fight (World),titlef,1992,Sega,Merged,
"Title Shot Club (Maygay) (EPOCH) (1.7, set 1)",ep_tits,199?,Maygay,Merged,
TK-10 Apple II keyboard,a2tk10,,,Merged,
TK-635,tk635,199?,Termtek,Merged,
TK-80,tk80,1976,NEC,Merged,
TK02 80 Column Monochrome Unit,tk02,,,Merged,
TK2000 Color Computer,tk2000,1984,Microdigital,Merged,
TM 990/189 University Board microcomputer,990189,1978,Texas Instruments,Merged,
TMAM 6095,evmbug,198?,Texas Instruments,Merged,
TNS HC-08,tnshc08,1988,JZD Slušovice,Merged,
To Heart House,hrthouse,200?,Limenko,Merged,
TO7,to7,1982,Thomson,Merged,
TO7/70,to770,1984,Thomson,Merged,
TO8,to8,1986,Thomson,Merged,
TO9,to9,1985,Thomson,Merged,
TO9+,to9p,1986,Thomson,Merged,
Tobe! Polystars (ver JAA),polystar,1997,Konami,Merged,
Tobikose! Jumpman,tjumpman,1999,Namco,Merged,
Toffy (encrypted),toffy,1993,Midas,Merged,
Toggle (prototype),toggle,1985,Bally/Sente,Merged,
"Toki (World, set 1)",toki,1989,TAD Corporation,Merged,
"Toki no Senshi - Chrono Soldier (MC-8123, 317-0040)",tokisens,1987,Sega,Merged,
Tokimeki Mahjong Paradise - Dear My Love,tmmjprd,1997,Media / Sonnet,Merged,
Tokimeki Memorial Oshiete Your Heart (GQ673 JAA),tmosh,1997,Konami,Merged,
Tokimeki Memorial Oshiete Your Heart Seal Version (GE755 JAA),tmoshs,1997,Konami,Merged,
Tokimeki Memorial Oshiete Your Heart Seal Version Plus (GE756 JAB),tmoshsp,1997,Konami,Merged,
Tokimeki Memorial Taisen Puzzle-dama (ver JAB),tkmmpzdm,1995,Konami,Merged,
Tokio / Scramble Formation (newer),tokio,1986,Taito Corporation,Merged,
"Tokoro San no MahMahjan (Japan, ROM Based)",mahmajn,1992,Sega,Merged,
"Tokoro San no MahMahjan 2 (Japan, ROM Based)",mahmajn2,1994,Sega,Merged,
"Tokyo Bus Guide (Japan, Rev A)",tokyobus,1999,Fortyfive,Merged,
"Tokyo Cop (US, dedicated version)",tokyocop,2003,Gaelco,Merged,
Tokyo Friend Park II (Japan),epo_tfp2,2003,Epoch / SSD Company LTD,Merged,
Tokyo Friend Park II Perfect! Mezase! Grand Slam!! (Japan),epo_tp2p,2007,Epoch / SSD Company LTD,Merged,
Tokyo Friend Park II Special! (Japan),epo_tp2s,2005,Epoch / SSD Company LTD,Merged,
Tokyo Gal Zukan (Japan),tokyogal,1989,Nichibutsu,Merged,
"Tokyo Wars (World, TW2 Ver.A)",tokyowar,1996,Namco,Merged,
"Toledo (2 jackpot points, 87%)",toledo,1982,Interflip,Merged,
Tom Tom Magic,tomagic,1997,Hobbitron T.K.Trading Co. Ltd.,Merged,
Tom's Adventures,tomsadvs,19??,<unknown>,Merged,
Tomahawk (Barcrest) (Dutch) (MPU4) (DTK 2.3),m4toma,199?,Barcrest,Merged,
Tomahawk 777 (rev 5),tomahawk,1980,Data East,Merged,
Tomato board 4DPS,zito4dps,199?,ZIDA,Merged,
Tomb Raider (JPM) (IMPACT) (set 1),j6tomb,199?,JPM,Merged,
Tomb Raiders (Empire) (MPU5),m5tomb,199?,Empire,Merged,
Tomb Raiders Club (Empire) (MPU5),m5trclb,199?,Empire,Merged,
TomCat (prototype),tomcat,1985,Atari,Merged,
Tomica Carnavi Drive (Japan),tcarnavi,2003,Tomy / SSD Company LTD,Merged,
Tommy Lasorda Baseball (Mega-Tech),mt_tlbba,1989,Sega,Merged,
Tomy Tutor,tutor,1983?,Tomy,Merged,
Ton Puu Mahjong Version 2.0 RX (Japan),tonpuu,1997,ANES,Merged,
Tondemo Crisis (Japan),tondemo,1999,Tecmo,Merged,
Tong Zi Maque,tongzi,2003,Ster,Merged,
"Tons Of Fun (Maygay) (EPOCH) (1.5, set 1)",ep_tonfn,199?,Maygay,Merged,
"Tonton (Japan, set 1)",tontonb,1987,Dynax,Merged,
Toobin' (rev 3),toobin,1988,Atari Games,Merged,
Top 1000 (Dutch) (Eurocoin) (Scorpion 1),sc1t1k,198?,Eurocoin,Merged,
"Top Action (Barcrest) (Dutch) (MPU4) (TA 2.2, set 1)",m4topact,199?,Barcrest,Merged,
"Top Banana (0100550V, NSW/ACT)",topbana,1997,Aristocrat,Merged,
Top Banana (Bellfruit) (Scorpion 4) (set 1),sc4tbana,200?,BFM,Merged,
Top Banana (Russian),wmstopb,1999,WMS,Merged,
Top Blade V,topbladv,2003,SonoKong / Expotato,Merged,
Top Box (Mazooma) (Scorpion 5) (set 1),sc5tbox,200?,Mazooma,Merged,
Top Card (Bwb) (MPS),j2topcd,198?,Bwb,Merged,
Top Dawg (Shuffle) (L-1),tdawg_l1,1987,Williams,Merged,
Top Deck (Barcrest) (Dutch) (MPU4) (DT 2.6),m4topdk,199?,Barcrest,Merged,
Top Dog (Barcrest) (MPU4) (TD4 7.1 YD / TD  7.1),m4topdog,199?,BWB,Merged,
Top Dog (Barcrest) (MPU5) (set 1),m5topdog,199?,Barcrest,Merged,
Top Dollar (Barcrest - Red Gaming) (MPU5) (set 1),m5topdol,199?,Barcrest / Red Gaming,Merged,
"Top Draw (encrypted, set 1)",topdraw,198?,SMS Manufacturing Corp.,Merged,
Top Driving (version 1.1),topdrive,1995,Proyesel,Merged,
Top Flight (Ace) (IMPACT),j6topflg,199?,Ace,Merged,
Top Game Laser L10 (Bingo),topgame,19??,Splin,Merged,
"Top Gear (4VXFC969, New Zealand)",topgear,1996,Aristocrat,Merged,
Top Gear (Barcrest) (MPU4) (TG4 1.1),m4topgr,199?,Barcrest,Merged,
Top Gears (Mazooma) (Scorpion 4) (set 1),sc4tgear,200?,Mazooma,Merged,
Top Gun (handheld),ktopgun,1989,Konami,Merged,
Top Gun: Second Mission (handheld),ktopgun2,1991,Konami,Merged,
Top Gunner (Exidy),topgunnr,1986,Exidy,Merged,
Top Hunter - Roddy & Cathy (NGM-046),tophuntr,1994,SNK,Merged,
Top Landing (World),topland,1988,Taito Corporation Japan,Merged,
Top Line (Pcp) (MPU3),m3toplin,198?,Pcp,Merged,
Top Loader (Mazooma) (Scorpion 4),sc4tload,200?,Mazooma,Merged,
Top Of The Bill (Ace) (ACESYS1),ac1totb,199?,Ace,Merged,
Top of the Pops (Bellfruit) (Cobra 3?),c3_totp,199?,BFM,Merged,
Top Of The Shop Club (JPM) (SYSTEM5),j5topshp,199?,JPM,Merged,
Top Of The Shots (Mazooma) (Scorpion 4) (set 1),sc4tpsht,200?,Mazooma,Merged,
Top Of The Shots (Mazooma) (Scorpion 5) (set 1),sc5tpsht,200?,Mazooma,Merged,
Top Pin,toppin,1988,Nuova Bell Games,Merged,
Top Player's Golf (NGM-003 ~ NGH-003),tpgolf,1990,SNK,Merged,
"Top Poker (Dutch, Game Card 95-750-899)",m_tppokr,1996,BFM/ELAM,Merged,
Top Ranking Stars (Ver 2.1O 1993/05/21) (New Version),trstar,1993,Taito Corporation Japan,Merged,
Top Roller,toprollr,1983,Jaleco,Merged,
Top Run (Dutch) (MPU4),m4toprn,199?,<unknown>,Merged,
Top Secret (Exidy) (version 1.0),topsecex,1986,Exidy,Merged,
Top Shooter,topshoot,1995,Sun Mixing,Merged,
"Top Shot (30123211, NSW/ACT)",topshta6,2002,Aristocrat,Merged,
Top Shot (Barcrest) (MPU3),m3topsht,198?,Barcrest,Merged,
Top Shot (JPM) (MPS),j2topsht,198?,JPM,Merged,
"Top Skater (Export, Revision A)",topskatr,1997,Sega,Merged,
"Top Slot (Astra, V103)",as_topsl,200?,Astra,Merged,
Top Sound (French),topsound,1988,ManilaMatic,Merged,
"Top Speed (World, rev 1)",topspeed,1987,Taito Corporation Japan,Merged,
Top Sprint (JPM) (SYSTEM80),j80topsp,198?,JPM,Merged,
Top Stop (Barcrest) (MPU4) (TSP 0.5),m4topst,199?,Barcrest,Merged,
Top Strike (Maygay - Bwb) (M1A/B),m1topstr,199?,Maygay,Merged,
Top T. Cash,toptcash,2002,VideoIdea,Merged,
Top Take (Barcrest) (MPU4) (TTK 1.1),m4toptak,199?,Barcrest,Merged,
Top Tenner (Barcrest) (type 1) (MPU4) (TTS 0.4),m4topten,199?,Barcrest,Merged,
Top Tenner (Maygay) (M1A/B) (set 1),m1topten,199?,Maygay,Merged,
"Top The Lot (Barcrest) (MPU4, T4L 1.0)",m4toplot,199?,Barcrest,Merged,
"Top Timer (Barcrest) (Dutch) (MPU4) (DTT 1.8, set 1)",m4toptim,199?,Barcrest,Merged,
Top Up (JPM) (SYSTEM80),j80topup,198?,JPM,Merged,
"Top Wack (Bellfruit) (set 1, UK, 10GBP Jackpot, 1st Triennial) (Scorpion 2/3)",sc2topwk,199?,BFM,Merged,
Top XXI (Version 1.2),top21,200?,Assogiochi Assago,Merged,
"Top-7 (V8.8, set 1)",top7,1999,bootleg (UTech),Merged,
Topaz (Inder),topaz,1979,Inder,Merged,
