Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,SoulStar (USA),SOULSTAR,SOULSTAR,T-115035,1994.NOV,SEGA GENESIS,(C)T-115,GM,0,J6,U
Redump,Space Ace (USA),SPACE ACE,SPACE ACE,T-121025,,SEGA MEGADRIVE,(C)T-121,GM,0,J,U
Redump,"Space Adventure, The - Cobra - The Legendary Bandit (Europe)",THE SPACE ADVENTURE COBRA,THE SPACE ADVENTURE COBRA,T-143015,1995.MAY,SEGA MEGA DRIVE,(C)T-14,GM,50,J,E
Redump,"Space Adventure, The - Cobra - The Legendary Bandit (USA)",THE SPACE ADVENTURE COBRA,THE SPACE ADVENTURE COBRA,T-143015,1995.APR,SEGA GENESIS,(C)T-14,GM,0,J,U
Redump,Star Wars - Rebel Assault (Europe),REBEL ASSAULT,REBEL ASSAULT,T-60075,1994.MAY,SEGA MEGA DRIVE,(C)T-60,GM,0,J,E
Redump,Star Wars - Rebel Assault (Japan),REBEL ASSAULT,REBEL ASSAULT,T-60174,1994.AUG,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J
Redump,Star Wars - Rebel Assault (USA),REBEL ASSAULT,REBEL ASSAULT,T-60075,1994.JUL,SEGA GENESIS,(C)T-60,GM,0,J,U
Redump,Star Wars - Rebel Assault (USA) (Limited Run Games),REBEL ASSAULT,REBEL ASSAULT,T-60075,1994.JUL,SEGA GENESIS,(C)T-60,GM,0,J,U
Redump,Starblade (Europe),STAR BLADE,STAR BLADE,T-14025,"1994,7",SEGA MEGA DRIVE,(C)T-14,GM,0,JMA,E
Redump,Starblade (Japan),STAR BLADE,STAR BLADE,T-14014,"1994,7",SEGA MEGA DRIVE,(C)T-14,GM,0,JMA,J
Redump,Starblade (USA),STAR BLADE,STAR BLADE,T-14025,"1994,7",SEGA GENESYS,(C)T-14,GM,0,JMA,U
Redump,Stellar-Fire (USA),STELLAR FIRE,STELLAR FIRE,T-110025,1993.OCT,SEGA GENESIS,(C)T-110,GM,0,J,U
Redump,Super Strike Trilogy (USA) (Unl),,,MK 0xxxx,93 FEB,SEGA GENESIS,(C)EA 19,GM,0,J,J
Redump,Supreme Warrior (Europe) (Disc 1),SUPREME WARRIOR,SUPREME WARRIOR,T-162045,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J6,8
Redump,Supreme Warrior (Europe) (Disc 1) (Mega-CD 32X),SUPREME WARRIOR,SUPREME WARRIOR,T-16203F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J6,8
Redump,Supreme Warrior (Europe) (Disc 2),SUPREME WARRIOR,SUPREME WARRIOR,T-162045,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J6,8
Redump,Supreme Warrior (Europe) (Disc 2) (Mega-CD 32X),SUPREME WARRIOR,SUPREME WARRIOR,T-16203F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J6,8
Redump,Supreme Warrior (USA) (Disc 1) (Fire & Earth),SUPREME WARRIOR,SUPREME WARRIOR,T-162045,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J6,U
Redump,Supreme Warrior (USA) (Disc 1) (Fire & Earth) (Alt),SUPREME WARRIOR,SUPREME WARRIOR,T-162045,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J6,U
Redump,Supreme Warrior (USA) (Disc 1) (Fire & Earth) (Sega CD 32X),SUPREME WARRIOR,SUPREME WARRIOR,T-16203F,1995.JAN,SEGA 32X,(C)T-162,GM,0,J6,U
Redump,Supreme Warrior (USA) (Disc 2) (Wind & Fang Tu),SUPREME WARRIOR,SUPREME WARRIOR,T-162045,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J6,U
Redump,Supreme Warrior (USA) (Disc 2) (Wind & Fang Tu) (Sega CD 32X),SUPREME WARRIOR,SUPREME WARRIOR,T-16203F,1995.JAN,SEGA 32X,(C)T-162,GM,0,J6,U
Redump,Surgical Strike (Brazil) (Sega CD 32X),SURGICAL STRIKE,SURGICAL STRIKE,MK-4435,1995.SEP,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Surgical Strike (Europe),SURGICAL STRIKE,SURGICAL STRIKE,MK-4435,1995.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,8
